,CAPURBINT,CAPURBLOC,CAPURBTOT,MNTURBINT,MNTURBLOC,MNTURBTOT,CAPRURINT,CAPRURLOC,CAPRURTOT,MNTRURINT,MNTRURLOC,MNTRURTOT,CAPTOTINT,CAPTOTLOC,CAPTOTTOT,MNTTOTINT,MNTTOTLOC,MNTTOTTOT,MILRURINT,MILRURLOC,MILRURTOT,MILURBINT,MILURBFWY,MILURBLOC,MILURBTOT,URBMIL+4,URBMIL-4,RURMIL+4,RURMIL-4,RURPASSVEH,RURTRUSING,RURTRUCOM,URBPASSVEH,URBTRUSING,URBTRUCOMB,ALASKA,NEWYORK,CALIFORNIA,SOUTHEAST,MIDWEST,NORTHEAST,VMTRURINT,VMTRURLOC,VMTRURTOT,VMTURBINT,VMTURBFWY,VMTURBLOC,VMTURBTOT,CSTADMHWY,CLOCADMRD,CFEDROAD,CTOTAL,MSTADMHWY,MLOCADMRD,MREDROAD,MTOTAL,ADM_MISC,LAW_SAFETY,INTEREST,BONDRETIRE,TOTALDISB
North  Carolina,64284,356506,420790,2913,285614,288527,95113,304887,400000,8739,86962,95701,159397,661393,820790,11652,372576,384228,633,=+V35-T35,74305,337,260,=+Z35-W35-X35,96028,87,250,18,615,70.9,7.1,=100-AE35-AF35,74.5,14.3,=100-AH35-AI35,0,0,0,1,0,0,6237,27529,33766,6050,2464,25258,33772,772594,127328,10329,910251,362139,86571,1044,449754,127094,203642,28870,17703,1737314
North  Dakota,12595,38445,51040,244,1285,1529,19318,52728,72046,3279,25233,28512,31913,91173,123086,3523,26518,30041,531,=+V36-T36,84909,40,0,=+Z36-W36-X36,86727,3,37,0,531,64.6,21.1,=100-AE36-AF36,73.3,19.6,=100-AH36-AI36,0,0,0,0,0,0,1012,3485,4497,188,0,1387,1575,93070,45587,15,138672,34178,50244,2185,86607,20627,15228,6931,13499,281564
Ohio,221034,317734,538768,18514,67884,86398,87218,196244,283462,27324,285261,312585,308252,513978,822230,45838,353145,398983,847,=+V37-T37,82255,726,381,=+Z37-W37-X37,113823,212,514,15,832,67.2,12.6,=100-AE37-AF37,79.7,12.2,=100-AH37-AI37,0,0,0,0,1,0,8276,29153,37429,15929,3608,38255,57792,679950,401989,211,1082150,460687,504058,23,964768,335689,213155,51708,109564,2757034
Oklahoma,49705,155221,204926,2411,5119,7530,13592,114963,128555,3148,74386,77534,63297,270184,333481,5559,79505,85064,715,=+V38-T38,99673,214,136,=+Z38-W38-X38,112467,72,142,0,715,=+AE18,=+AF18,=+AG18,=+AH18,=+AI18,=+AJ18,0,0,0,0,0,0,3705,13662,17367,3365,1831,12556,17752,320609,113422,4000,438031,88492,117914,17,206423,191811,41384,56248,85638,1019535
Oregon,20270,141847,162117,9788,49226,59014,36947,118079,155026,18564,59139,77703,57217,259926,317143,28352,108365,136717,581,=+V39-T39,86008,146,53,=+Z39-W39-X39,96036,58,88,21,560,54.3,29.5,=100-AE39-AF39,65.5,28.9,=100-AH39-AI39,0,0,0,0,0,0,3812,11724,15536,2966,971,8453,12390,335881,201205,10798,547884,120773,168155,7523,296451,64501,73433,14067,24162,1020498
Pennsylvania,315428,409182,724610,12640,342892,355532,295404,265133,560537,43941,124571,168512,610832,674315,1285147,56581,467463,524044,1079,=+V40-T40,84422,509,485,=+Z40-W40-X40,117038,111,398,18,1061,60.5,16.5,=100-AE40-AF40,73.8,16.2,=100-AH40-AI40,0,0,0,0,0,1,7381,29968,37349,8839,4656,38356,51851,1223271,125258,268,1348797,764351,744656,85,1509092,152494,443935,190151,225189,3869658
Rhode  Island,24216,172300,196516,4785,16366,21151,4734,20313,25047,2051,4680,6731,28950,192613,221563,6836,21046,27882,21,=+V41-T41,1334,49,68,=+Z41-W41-X41,6057,33,16,0,21,74.8,16.9,=100-AE41-AF41,79.9,14,=100-AH41-AI41,0,0,0,0,0,1,278,851,1129,1407,601,4422,6430,136323,4040,0,140363,23710,17136,6,40852,9798,28023,14684,19770,253490
South  Carolina,32565,150992,183557,85,111198,111283,25330,198089,223419,0,15895,15895,57895,349081,406976,85,127093,127178,668,=+V42-T42,53637,142,70,=+Z42-W42-X42,64158,51,91,16,652,70.6,10.6,=100-AE42-AF42,76.6,12.1,=100-AH42-AI42,0,0,0,1,0,0,5945,15168,21113,2427,589,10920,13936,332967,31128,28,364123,156266,43893,40,200199,52696,86404,917,824,705163
South  Dakota,8696,46384,55080,648,1537,2185,22248,111723,133971,5088,24580,29668,30944,158107,189051,5736,26117,31853,631,=+V43-T43,81445,47,3,=+Z43-W43-X43,83305,0,47,0,631,72.9,16.4,=100-AE43-AF43,80.6,16.9,=100-AH43-AI43,0,0,0,0,0,0,1354,4324,5678,229,17,1294,1540,159816,68946,1516,230278,33371,68300,3757,105428,21403,30636,843,1813,390401
Tennessee,79292,109327,188619,18005,27009,45014,37419,343240,380659,27008,108025,135033,116711,452567,569278,45013,135034,180047,740,=+V44-T44,68516,322,114,=+Z44-W44-X44,85037,141,181,25,715,65,13.9,=100-AE44-AF44,69.9,20.5,=100-AH44-AI44,0,0,0,1,0,0,6603,15998,22601,6473,871,20049,27393,613158,106790,5777,725725,192392,225319,70,417781,84136,59239,6057,16894,1309832
Texas,299955,715039,1014994,34146,107606,141752,156428,807390,963818,162540,355502,518042,456383,1522429,1978812,196686,463108,659794,2203,=+V45-T45,215010,1031,1212,=+Z45-W45-X45,294142,555,476,45,2158,60.5,20.4,=100-AE45-AF45,73.2,19.8,=100-AH45-AI45,0,0,0,1,0,0,12612,44556,57168,23998,15234,66929,106161,1701015,578592,3282,2282889,564131,898897,67,1463095,473048,804375,351868,246617,5621892
Utah,47041,69962,117003,13300,11140,24440,36446,77545,113991,12500,20560,33060,83487,147507,230994,25800,31700,57500,769,=+V46-T46,34402,168,9,=+Z46-W46-X46,40508,111,57,17,752,60.6,21.6,=100-AE46-AF46,73.6,20.7,=100-AH46-AI46,0,0,0,0,0,0,2309,3633,5942,3321,90,6954,10365,182428,68600,5782,256810,59893,72110,1471,133474,40831,33745,0,0,464860
Vermont,1240,46248,47488,195,743,938,13511,48863,62374,1432,7378,8810,14751,95111,109862,1627,8121,9748,280,=+V47-T47,12842,40,20,=+Z47-W47-X47,14166,0,40,0,280,80.1,14.8,=100-AE47-AF47,79.7,16,=100-AH47-AI47,0,0,0,0,0,1,1011,3304,4315,284,51,1369,1704,87148,36942,0,124090,36024,54112,15,90151,15067,21072,2015,5990,258385
Virginia,60013,336862,396875,34331,171618,205949,46316,182575,228891,66071,157167,223238,106329,519437,625766,100402,328785,429187,788,=+V48-T48,52848,318,194,=+Z48-W48-X48,68429,138,180,118,670,68.8,16.6,=100-AE48-AF48,78.1,16.6,=100-AH48-AI48,0,0,0,1,0,0,7511,22259,29770,8174,2263,23240,33677,649972,202473,8895,861340,468402,187345,30,655777,143235,168008,99058,190483,2117901
Washington,222494,192792,415286,9553,21089,30642,26177,234796,260973,7031,26629,33660,248671,427588,676259,16584,47718,64302,501,=+V49-T49,62210,262,302,=+Z49-W49-X49,79428,158,104,96,405,64.9,24.6,=100-AE49-AF49,70,25.6,=100-AH49-AI49,0,0,0,0,0,0,3563,13129,16692,8350,3841,20503,32694,501683,332102,3923,837708,193795,267382,2431,463608,239299,173064,72751,95899,1882329
West  Virginia,18925,120989,139914,5204,59219,64423,37245,290280,327525,15215,65377,80592,56170,411269,467439,20419,124596,145015,456,=+V50-T50,31908,94,9,=+Z50-W50-X50,35045,9,85,23,433,70.1,12.9,=100-AE50-AF50,72.9,15,=100-AH50-AI50,0,0,0,1,0,0,2979,8853,11832,1169,414,3063,4646,356770,13858,134,370762,161301,48540,41,209882,31528,38247,29209,41355,720983
Wisconsin,26875,205270,232145,1390,9528,10918,36422,381434,417856,4988,57700,62688,63297,586704,650001,6378,67228,73606,495,=+V51-T51,95387,143,178,=+Z51-W51-X51,110978,56,87,50,445,77,9.7,=100-AE51-AF51,76.5,14.2,=100-AH51-AI51,0,0,0,0,1,0,4236,20781,25017,2988,2216,17407,22611,626822,384652,1,1011475,116788,423045,1569,541402,128447,261228,72021,135877,2150450
Wyoming,2778,22867,25645,791,1731,2522,39675,93466,133141,5815,21789,27604,42453,116333,158786,6606,23520,30126,827,=+V52-T52,35256,87,3,=+Z52-W52-X52,37642,0,87,0,827,41.2,24.4,=100-AE52-AF52,55.1,34.7,=100-AH52-AI52,0,0,0,0,0,0,1746,2858,4604,261,8,1344,1613,127015,34114,12506,173635,52018,34989,900,87907,24522,23896,187,1159,311306
Undistributed,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3527,3527,0,0,20587,20587,422413,0,0,0,446527
Total,5539140,=#REF!,15864206,452488,=#REF!,2973365,2901833,=#REF!,12369665,790142,=#REF!,3626911,8440973,=#REF!,28233871,1242630,=#REF!,6600276,=SUM(T2:T52),=SUM(U2:U52),=SUM(V2:V52),=SUM(W2:W52),=SUM(X2:X52),=SUM(Y2:Y52),=SUM(Z2:Z52),6230,6648,1589,31033,=AVERAGE(AE2:AE52),=AVERAGE(AF2:AF52),=AVERAGE(AG2:AG52),=AVERAGE(AH2:AH52),=AVERAGE(AI2:AI52),=AVERAGE(AJ2:AJ52),,,,,,,=SUM(AQ2:AQ52),=SUM(AR2:AR52),=SUM(AS2:AS52),=SUM(AT2:AT52),=SUM(AU2:AU52),=SUM(AV2:AV52),=SUM(AW2:AW52),27143027,10946255,219878,38309160,8746806,13402999,73790,22223595,7718703,7088262,3620713,4588962,83549395
